ipa_phone	fastspeech_symbol	category
a	@a	vowel
b	@b	onset
c	@c	other
d	@d	other
e	@e	vowel
f	@f	onset
h	@h	onset
i	@i	vowel
j	@j	coda
k	@k	onset
k̚	@k̚	coda
kʰ	@kʰ	other
kw	@kw	onset
l	@l	onset
m	@m	coda
n	@n	coda
o	@o	vowel
p	@p	onset
p̚	@p̚	coda
r	@r	onset
s	@s	onset
sp	@sp	special
spn	@spn	special
sil	@sil	special
t	@t	onset
tʰ	@tʰ	onset
tɕ	@tɕ	onset
t̚	@t̚	coda
u	@u	vowel
v	@v	onset
w	@w	coda
x	@x	onset
z	@z	onset
æ	@æ	other
ð	@ð	other
ŋ	@ŋ	onset
ŋ͡m	@ŋ͡m	other
ŋ̚	@ŋ̚	coda
ɐ	@ɐ	vowel
ɑ	@ɑ	other
ɔ	@ɔ	vowel
ə	@ə	vowel
ɗ	@ɗ	onset
ɛ	@ɛ	vowel
ɣ	@ɣ	onset
ɤ	@ɤ	vowel
ɯ	@ɯ	vowel
ɲ	@ɲ	onset
ɲ̚	@ɲ̚	coda
ʈ	@ʈ	onset
˧	@˧	tone
˧˥	@˧˥	tone
˧˥ʔ	@˧˥ʔ	tone
˧˩˧	@˧˩˧	tone
˨˩	@˨˩	tone
˨˩ʔ	@˨˩ʔ	tone
